CÁLCULO DE MARÉS DE PORTOS PORTUGUESES
FACULDADE DE CIÊNCIAS DA UNIVERSIDADE DE LISBOA
Carlos Antunes, http://enggeografica.fc.ul.pt

MODELO DE PREVISÃO DE MARÉS DA FCUL (EG/DEGGE)                  
ajustado ao marégrafo de LEIXÕES pelo Grupo de EG da FCUL       
DADOS DE MARÉ DO Instituto Hidrográfico - 1H DE 2007            

PORTO DE LEIXOES                  

  Data       Hora   Alt    Maré
2017-03-21   2:45  1.70  Baixa-Mar           
2017-03-21   9:09  2.64  Preia-Mar           
2017-03-21  15:17  1.76  Baixa-Mar           
2017-03-21  21:49  2.74  Preia-Mar           
2017-03-22   4:19  1.69  Baixa-Mar           
2017-03-22  10:38  2.67  Preia-Mar           
2017-03-22  16:47  1.70  Baixa-Mar           
2017-03-22  23:09  2.84  Preia-Mar           
2017-03-23   5:34  1.55  Baixa-Mar           
2017-03-23  11:48  2.82  Preia-Mar           
2017-03-23  17:52  1.53  Baixa-Mar           
2017-03-24   0:08  3.04  Preia-Mar           
2017-03-24   6:26  1.33  Baixa-Mar           
2017-03-24  12:38  3.03  Preia-Mar           
2017-03-24  18:41  1.30  Baixa-Mar           
2017-03-25   0:54  3.27  Preia-Mar           
2017-03-25   7:09  1.09  Baixa-Mar           
2017-03-25  13:20  3.26  Preia-Mar           
2017-03-25  19:22  1.06  Baixa-Mar           
2017-03-26   1:35  3.51  Preia-Mar           
2017-03-26   7:47  0.86  Baixa-Mar           
2017-03-26  13:58  3.49  Preia-Mar           
2017-03-26  20:01  0.84  Baixa-Mar           
2017-03-27   2:14  3.72  Preia-Mar           
2017-03-27   8:25  0.66  Baixa-Mar           
2017-03-27  14:36  3.67  Preia-Mar           
2017-03-27  20:39  0.65  Baixa-Mar           
2017-03-28   2:52  3.88  Preia-Mar           
2017-03-28   9:03  0.52  Baixa-Mar           
2017-03-28  15:14  3.80  Preia-Mar           
2017-03-28  21:18  0.54  Baixa-Mar           
2017-03-29   3:32  3.96  Preia-Mar           
2017-03-29   9:42  0.46  Baixa-Mar           
2017-03-29  15:54  3.85  Preia-Mar           
2017-03-29  21:59  0.50  Baixa-Mar           
2017-03-30   4:13  3.94  Preia-Mar           
2017-03-30  10:23  0.50  Baixa-Mar           
2017-03-30  16:35  3.81  Preia-Mar           
2017-03-30  22:41  0.56  Baixa-Mar           
2017-03-31   4:57  3.83  Preia-Mar           
2017-03-31  11:06  0.63  Baixa-Mar           
2017-03-31  17:20  3.69  Preia-Mar           
2017-03-31  23:28  0.70  Baixa-Mar           
2017-04-01   5:45  3.62  Preia-Mar           
2017-04-01  11:53  0.84  Baixa-Mar           
2017-04-01  18:10  3.51  Preia-Mar           
2017-04-02   0:21  0.91  Baixa-Mar           
2017-04-02   6:40  3.37  Preia-Mar           
2017-04-02  12:47  1.09  Baixa-Mar           
2017-04-02  19:07  3.31  Preia-Mar           
2017-04-03   1:23  1.13  Baixa-Mar           
2017-04-03   7:46  3.11  Preia-Mar           
2017-04-03  13:53  1.33  Baixa-Mar           
2017-04-03  20:17  3.12  Preia-Mar           
2017-04-04   2:43  1.31  Baixa-Mar           
2017-04-04   9:07  2.94  Preia-Mar           
2017-04-04  15:18  1.48  Baixa-Mar           
2017-04-04  21:42  3.05  Preia-Mar           
2017-04-05   4:15  1.34  Baixa-Mar           
2017-04-05  10:36  2.92  Preia-Mar           
2017-04-05  16:47  1.46  Baixa-Mar           
2017-04-05  23:05  3.11  Preia-Mar           
2017-04-06   5:35  1.24  Baixa-Mar           
2017-04-06  11:51  3.03  Preia-Mar           
2017-04-06  17:58  1.33  Baixa-Mar           
2017-04-07   0:11  3.25  Preia-Mar           
2017-04-07   6:34  1.09  Baixa-Mar           
2017-04-07  12:47  3.18  Preia-Mar           
2017-04-07  18:51  1.16  Baixa-Mar           
2017-04-08   1:03  3.39  Preia-Mar           
2017-04-08   7:20  0.95  Baixa-Mar           
2017-04-08  13:31  3.33  Preia-Mar           
2017-04-08  19:34  1.01  Baixa-Mar           
2017-04-09   1:46  3.51  Preia-Mar           
2017-04-09   7:59  0.85  Baixa-Mar           
2017-04-09  14:09  3.44  Preia-Mar           
2017-04-09  20:11  0.89  Baixa-Mar           
2017-04-10   2:23  3.59  Preia-Mar           
2017-04-10   8:32  0.79  Baixa-Mar           
2017-04-10  14:42  3.52  Preia-Mar           
